,title,description,rating,year,tags,cover
22,Only I Level Up (Novel),"In this world where Hunters with various magical powers battle monsters from invading the defenceless humanity, Sung Jin-Woo was the weakest of all the Hunters, barely able to make a living. However, a mysterious System grants him the power of the ‘Player’, setting him on a course for an incredible and often times perilous Journey. Follow Sung Jin-Woo as he embarks on an adventure to become an unparalleled existence through his “Level-Up” system - the only one in the entire world!",4.7,2016.0,"['Action', 'Adventure', 'Fantasy', 'Manhwa', 'Web Novels', 'Dungeon', 'Magic', 'RPG', 'Weak to Strong']",https://cdn.anime-planet.com/manga/primary/only-i-level-up-novel-1-190x271.jpg?t=1625920159
23,Bloom Into You,"Yuu has always loved shoujo manga and awaits the day she gets a love confession that sends her heart aflutter with bubbles and hearts, and yet when a junior high classmate confesses his feelings to her...she feels nothing. Disappointed and confused, Yuu enters high school still unsure how to respond. That's when Yuu sees the beautiful student council president Nanami turn down a suitor with such maturity that she's inspired to ask her for help. But when the next person to confess to Yuu is Nanami herself, has her shoujo romance finally begun?",4.7,2015.0,"['Drama', 'GL', 'Romance', 'Shoujo-ai', 'Shounen', 'LGBT Themes', 'Love Confession', 'Love Triangle', 'School Life', 'Senpai-Kouhai Relationship', 'Student Council', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/bloom-into-you-1-190x271.jpg?t=1625913980
24,The Male Lead's Little Lion Daughter,"The handsome Duke Voreoti is the most terrifying man in the empire, with the coldest of demeanors and a gaze that can kill. But one day, he suddenly says that he wants to… adopt a child?! And that child is me?! After finding me at a shady orphanage, he whisked me away to his snowy palace without a second thought. Now I’m learning all the ways of the feared Voreoti family from his knights. However, things get dicey when the Duke becomes suspicious of my origins. With these fangs and jet black hair, perhaps we are more than just kindred spirits…",4.7,2021.0,"['Comedy', 'Drama', 'Fantasy', 'Manhwa', 'Romance', 'Webtoons', 'Full Color', 'Nobility', 'Person in a Strange World', 'Transported Into a Novel', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/the-male-leads-little-lion-daughter-1-285x399.webp?t=1640373784
25,20th Century Boys,"The world is never quite the same once we grow up. Villains and robots that once ran rampant in our imaginations are reduced to drawings in Manga, and our lives are distilled until there is little left but the daily grind; so it has been for Kenji. After a childhood of dreams he now runs his late father's liquor store and is raising his sister's child. The memories and friends from his early years bring him some happiness, but they become tainted as a string of murders find connections to his past. Kenji and his friends must now fight to save the future from their past and unravel the mystery of ""Friend.""",4.7,1999.0,"['Action', 'Drama', 'Mystery', 'Sci Fi', 'Seinen', 'Historical', 'Psychological']",https://cdn.anime-planet.com/manga/primary/20th-century-boys-1-190x275.jpg?t=1625907535
26,Vagabond,"Following a horrific defeat at the battle of Sekigahara, two survivors, Takezo Shinmen and Matahachi Hon’iden, are deflated at having been unable to make a name for themselves and earn glory on the battlefield. But while Matahachi is anxious to go home, Takezo has vowed never to return and intends to become a vagabond, travelling the country polishing and testing his skills as a swordsman. With a beastial mercilessness when it comes to killing and a habit of cutting down all in his path, it doesn’t take long for Takezo to become a wanted fugitive. However, after being captured by a monk named Takuan and given a new lease of life, Takezo begins to live under the name of Musashi Miyamoto. Now, with a new view on life and death, Musashi continues to travel the nation challenging the most infamous fighters to achieve his goal of becoming the strongest samurai ever known.",4.7,1998.0,"['Action', 'Adventure', 'Drama', 'Seinen', '17th Century', 'Feudal Japan', 'Hiatus', 'Historical', 'Samurai', 'Swordplay', 'Explicit Violence']",https://cdn.anime-planet.com/manga/primary/vagabond-1-190x272.jpg?t=1625908170
27,Roxana,"Kidnapping, murder, and risqué relationships! Within the scandalous pages of The Abysmal Flower, the downfall of Roxana Agrece’s criminal family is already foretold. So when Cassis Pedelian, the heroine’s older brother, is kidnapped by Roxana’s father, she can either wait for the heroine’s revenge... or take matters into her own hands, since Cassis is the key to her survival. But with deceitful characters on all sides, can Roxana and Cassis trust each other enough to bring down the brutal Agreces?",4.7,2021.0,"['Drama', 'Fantasy', 'Manhwa', 'Romance', 'Webtoons', 'Full Color', 'Isekai', 'Person in a Strange World', 'Psychological', 'Transported Into a Novel', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/roxana-1-285x399.jpg?t=1629329045
28,Nano Machine,"After being held in disdain and having his life put in danger, an orphan from the Demonic Cult, Cheon Yeo-Woon, has an unexpected visit from his descendant from the future who inserts a nano machine into Cheon Yeo-Woon's body, which drastically changes Cheon Yeo-Woon's life after its activation. The story of Cheon Yeo-Woon's journey of bypassing the Demonic Cult and rising to become the best martial artist has just begun.",4.7,2020.0,"['Action', 'Adventure', 'Fantasy', 'Manhwa', 'Sci Fi', 'Webtoons', 'Full Color', 'Martial Arts', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/nano-machine-1-190x266.jpg?t=1625927193
29,GTO,"With a history of leading a motorcycle gang and getting bad grades in school, why would 22 year old Onizuka ever want to become a teacher? Is it to educate young minds or spread the joy of education? Sure, if it involves being able to look up high school girls' skirts! Watch as this would-be educator uses his own life lessons and unconstituted methods as a means to control a delinquent class of students -- students who certainly aren't as happy to have him as a teacher as he is happy to be teaching...",4.7,1996.0,"['Comedy', 'Drama', 'Ecchi', 'Shounen', 'Delinquents', 'School Life', 'Slapstick', 'Teaching', 'Work Life', 'Bullying', 'Emotional Abuse', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/gto-1-190x285.jpg?t=1625908141
30,Level Up with the Gods,"“Maybe Inner Gods can never defeat Outer Gods…” so thought Yuwon Kim, a plucky, high-ranking warrior, after a bitter defeat. But Yuwon is too tenacious to give up. His loss becomes the dawn of a new journey as a returnee. With renewed determination, Yuwon starts back from where he began, smashing monster after monster and relearning his skills before taking on the Tower once again. But can he fight his way through the tutorials and level up once more, or will his conquest crumble before him?",4.7,2021.0,"['Action', 'Adventure', 'Fantasy', 'Manhwa', 'Webtoons', 'Full Color', 'Second Chance', 'Supernatural', 'Time Travel', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/level-up-with-the-gods-1-285x399.webp?t=1641972910
31,Kaguya-sama: Love Is War,"As leaders of their prestigious academy’s student council, Kaguya and Miyuki are the elite of the elite! But it’s lonely at the top… Luckily for them, they’ve fallen in love! There’s just one problem—they both have too much pride to admit it. And so begins the daily scheming to get the object of their affection to confess their romantic feelings first…Love is a war you win by losing.",4.7,2015.0,"['Comedy', 'Drama', 'Romance', 'Seinen', 'Episodic', 'Love Confession', 'Mind Games', 'School Life', 'Student Council', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/kaguya-sama-love-is-war-1-190x285.jpg?t=1625914338
32,Sign,"There are a few unusual things about Cafe Goyo. Number one, their coffee sucks. Number two, their customers never order off the menu. And number three, Yohan, the cafe manager, is deaf. So when Soohwa joins as a part-timer, though he is not expected to learn how to make good coffee, he is asked to expand his sign language vocabulary beyond the words, “higher,” “pay,” and “please.” But when Yohan offers to give him private lessons, Soohwa is reluctant. Not because he doesn’t want to study, but because he has a “hard” time around Yohan. Like, literally. He gets hard. Whenever he hears Yohan’s deep, sexy voice.",4.7,2017.0,"['BL', 'Comedy', 'Manhwa', 'Romance', 'Slice of Life', 'Webtoons', 'Yaoi', 'Adult Couples', 'Boss-Employee Relationship', 'Cafe', 'Cohabitation', 'Disability', 'Fetish', 'Full Color', 'Mature Romance', 'Smut', 'Explicit Sex']",https://cdn.anime-planet.com/manga/primary/sign-1-190x266.jpg?t=1625916752
33,Three Days of Happiness (Light Novel),"In this dark, moody love story, college student Kusunoki decides to sell off the next thirty years of his life at a mysterious shop in exchange for money—and maybe a chance to find something worth living for.",4.7,2013.0,"['Drama', 'Light Novels', 'Romance', 'Slice of Life', 'Mysterious Shop', 'Psychological', 'Supernatural']",https://cdn.anime-planet.com/manga/primary/three-days-of-happiness-light-novel-1-190x285.jpg?t=1625917101
34,The Legend of the Northern Blade,"For decades, the brave warriors of the Northern Heavenly Sect fought to keep the world safe from the evil Silent Night. But when the fourth generation leader is accused of colluding with the enemy, he is forced to disband the sect and commit suicide to protect his son, Moowon. With no family and allies left, Moowon leads a dreary life under close surveillance... until a surprise attack from the Silent Night gives him a chance to escape to the mountains. There, the young warrior trains to master the fighting techniques of his predecessors, before the mysterious disappearance of a loved one brings him back to the mainland. Follow Moowon as he embarks on a journey to avenge his father’s death and take down the villains who threaten to plunge the world into darkness!",4.7,2019.0,"['Action', 'Adventure', 'Fantasy', 'Manhwa', 'Webtoons', 'Full Color', 'Martial Arts', 'Revenge']",https://cdn.anime-planet.com/manga/primary/the-legend-of-the-northern-blade-1-285x399.jpg?t=1638497726
35,The Horizon,"Two children unexpectedly meet in the midst of war. After running away from the chaos, they come across a long empty road. With no adults to rely on, the two strangers, now become friends, walk alongside each other to see what's at the end of the road. All they hope is to keep being able to move forward. Just what kind of trials and tragedy awaits them during their journey for survival?",4.7,2016.0,"['Drama', 'Manhwa', 'Webtoons', 'Melancholy', 'Survival', 'War', 'Mature Themes', 'Suicide', 'Violence']",https://cdn.anime-planet.com/manga/primary/the-horizon-1-190x275.jpg?t=1625916048
36,Skip Beat!,"Kyoko moves to the big city with the prince of her dreams Shotaro; he wants to make it big in the entertainment business, so she works hard at many different jobs to support him as he achieves his dream. However, one day, Kyoko accidentally discovers the horrible truth: the love of her life thinks of her as a 'plain and boring woman!' Outraged, Kyoko swears revenge - she will make it even bigger than Shotaro in the entertainment world. The only question is, how will she fulfill her desire?",4.7,2002.0,"['Comedy', 'Drama', 'Romance', 'Shoujo', 'Slice of Life', 'Acting', 'Idols', 'Showbiz', 'Work Life', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/skip-beat-1-190x285.jpg?t=1625908039
37,10 Years That I Loved You the Most,"I've loved you the most for most of my life. Now I am a piece of crumpled paper in the corner you would never glimpse. I thought you would be my today and all of my tomorrows. I imagined that someday you would turn around again and stare at me with all your love. However, when our love is gone, I'll just pick a sunny afternoon with gentle wind, put on my coat and leave for good...",4.6,2018.0,"['BL', 'Drama', 'Manhua', 'Slice of Life', 'Webtoons', 'Yaoi', 'Full Color', 'Melancholy', 'Mature Themes', 'Sexual Abuse', 'Sexual Content', 'Suicide', 'Based on a Novel']",https://cdn.anime-planet.com/manga/primary/10-years-that-i-loved-you-the-most-1-190x266.jpg?t=1625919504
38,Pirouette into My Heart,"Known as “the little swan” of his ballet studio, Shen has big dreams of leaving the humble farming town he grew up in and shooting to stardom. Though soft-spoken and timid, he meets his match in the stoic, wealthy, and equally as intense Jinyi, who pursues boxing next door. An unlikely pair, they cheer each other on and raise each other up through thick and thin. Determined to achieve their separate ambitions in the midst of their personal troubles, will their deep connection be strong enough to endure the journey and take flight?",4.6,2019.0,"['BL', 'Manhua', 'Romance', 'Shounen-ai', 'Sports', 'Webtoons', 'Ballet Dancing', 'Boxing', 'Dancing', 'Full Color', 'Hand to Hand Combat', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/pirouette-into-my-heart-1-285x398.webp?t=1641779480
39,Classroom of the Elite: Year 2 (Light Novel),"Students of the prestigious Tokyo Metropolitan Advanced Nurturing High School are given remarkable freedom–if they can win, barter, or save enough points to work their way up the ranks! Ayanokouji Kiyotaka started at the bottom in the scorned Class D, where he met Horikita Suzune, who was determined to rise up the ladder to Class A. Who can beat the system in a school where cutthroat competition is the name of the game? The second year of this intense school drama begins now!",4.6,2020.0,"['Comedy', 'Drama', 'Light Novels', 'Romance', 'Boarding School', 'Psychological', 'School Life']",https://cdn.anime-planet.com/manga/primary/classroom-of-the-elite-year-2-light-novel-1-285x405.jpg?t=1632623188
40,SQ: Begin W/Your Name!,"When Sun Jing in Affiliated No.2 Middle School encounters with Qiutong of South Middle School, a small episode makes Sun remember the girl whose smile as warm as sunshine. Their schools are adjacent, so Sun Jing always meets Qiu at the bus station. He starts to keep an eye on the girl and they become friends since then.",4.6,2014.0,"['Comedy', 'GL', 'Manhua', 'Romance', 'Shoujo-ai', 'Webtoons', 'School Life']",https://cdn.anime-planet.com/manga/primary/sq-begin-w-your-name-1-190x258.jpg?t=1625913638
41,Spice and Wolf (Light Novel),"The life of a traveling merchant is a lonely one, a fact with which Kraft Lawrence is well acquainted. Wandering from town to town with just his horse, cart, and whatever wares have come his way, the peddler has pretty well settled into his routine—that is, until the night Lawrence finds a wolf goddess asleep in his cart. Taking the form of a fetching girl with wolf ears and a tail, Holo has wearied of tending to harvests in the countryside and strikes up a bargain with the merchant to lend him the cunning of ""Holo the Wisewolf"" to increase his profits in exchange for taking her along on his travels. What kind of businessman could turn down such an offer? Lawrence soon learns, though, that having an ancient goddess as a traveling companion can be a bit of a mixed blessing. Will this wolf girl turn out to be too wild to tame?",4.6,2006.0,"['Adventure', 'Drama', 'Fantasy', 'Light Novels', 'Romance', 'Adult Couples', 'Animal Characteristics', 'Animal Transformation', 'Economics', 'God-Human Relationship', 'Interspecies Relationship', 'Mature Romance', 'Medieval', 'Non-Human Protagonists', 'Political', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/spice-and-wolf-light-novel-1-285x429.jpg?t=1630622455
42,Mage & Demon Queen - Part 3,The third season of Mage & Demon Queen.,4.6,2021.0,"['Comedy', 'Fantasy', 'GL', 'OEL', 'Romance', 'Shoujo-ai', 'Webtoons', 'Full Color']",https://cdn.anime-planet.com/manga/primary/mage-and-demon-queen-part-3-1-190x266.jpg?t=1625932419
43,Mage & Demon Queen - Part 2,The second season of Mage & Demon Queen.,4.6,2019.0,"['Comedy', 'Fantasy', 'GL', 'OEL', 'Romance', 'Shoujo-ai', 'Webtoons', 'Demon King', 'Demons', 'Full Color', 'Interspecies Relationship', 'Magic', 'Royalty']",https://cdn.anime-planet.com/manga/primary/mage-and-demon-queen-part-2-1-190x266.jpg?t=1625923070
44,Kamisama Kiss,"Nanami used to live in a ramshackle apartment with her father - a man who spent half his time gambling and the other half hiding from debt collectors - until one day the scoundrel ran away, leaving his daughter hungry and homeless. That is, until she meets a mysterious stranger in the park who deems her the new goddess of a local shrine! Unfortunately, Nanami’s new home is occupied by Tomoe, a fox familiar who objects to the presence of a mere mortal and immediately begins to bicker with the girl. If she can manage to form a contract with the troublesome man, he’ll be obligated to accept and help her perform her duties. But there’s a catch: Nanami has to kiss him first, and who’d want to lock lips with that awful guy?!",4.6,2008.0,"['Comedy', 'Drama', 'Fantasy', 'Romance', 'Shoujo', 'Animal Characteristics', 'Interspecies Relationship', 'Japanese Mythology', 'Master-Servant Relationship', 'Non-Human Protagonists', 'Youkai', 'Violence', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/kamisama-kiss-1-190x285.jpg?t=1625908371
