Rank,Name,Japanese_name,Type,Episodes,Studio,Release_season,Tags,Rating,Release_year,End_year,Description,Content_Warning,Related_Mange,Related_anime,Voice_actors,staff
1348,Barefoot Gen, Hadashi no Gen,Movie,,MADHOUSE,,"Drama, Shounen, Death of a Loved One, Historical, Lifestyle Change, Melancholy, Poverty, War, World War 2, Based on a Manga, Explicit Violence",3.9,1983.0,,"""The year is 1945, and the Japanese war effort is grinding to a halt. In Hiroshima, the Nakaoka family is working hard to survive in the midst of poverty and persecution. With his father constantly working, six year old Gen has been left in charge of his family, yet stays relentlessly optimistic in the face of hardship. Then, on August 6th, the atomic bomb Little Boy detonated in the center of town, and the people's lives were changed forever. As Gen struggles to cope with the horrific event, his youthful innocence and refusal to give up brings a renewed sense of hope to those around him...""",Explicit Violence,Barefoot Gen,Barefoot Gen 2,"Gen Nakaoka : Issei Miyazaki, Daikichi Nakaoka : Takao Inoue, Eiko Nakaoka : Seiko Nakano, Kimie Nakaoka : Yoshie Shimamura, Ryuuta Kondo : Masaki Kouda, Shinji Nakaoka : Masaki Kouda, Eizo : Takeshi Aono, Mr. Pak : Junji Nishimura, Keiji Nakazawa
Producer & Original Creator, Mori Masaki
Director, Kentarou Haneda
Music, Kazuo Tomizawa
Character Design, Takanori Yoshimoto
Producer, Yasuteru Iwase
Producer, Yasuomi Umetsu
Key Animator, Masato Kimura
Key Animator","Keiji Nakazawa : Producer & Original Creator, Mori Masaki : Director, Kentarou Haneda : Music, Kazuo Tomizawa : Character Design, Takanori Yoshimoto : Producer, Yasuteru Iwase : Producer, Yasuomi Umetsu : Key Animator, Masato Kimura : Key Animator"
1349,Shakugan no Shana,,TV   ,24.0,J.C.Staff,Fall ,"Action, Fantasy, Contemporary Fantasy, Magic, Supernatural, Tsundere, Urban Fantasy, Based on a Light Novel",3.9,2005.0,2006.0,"'Sakai Yuuji thought he was a normal high school student, until one fateful day when time stopped. Watching in horror, he witnesses a monster devouring the ""frozen"" people around him; but luckily for Yuuji, he is saved by a sword-wielding red-headed girl that calls herself a ""Flame Haze"". The girl informs him that he has been dead for some time now and that his current self is merely a replacement for the human that he used be while alive. He is, she says, merely a torch whose life will come to an end when the blue flame in his chest ceases to burn. After this rude awakening, Yuuji realizes that he is able to see the flames of life in other ""torches""; and after discovering that a friend of his is also a torch -- and her life is burning out faster than his – he gains the courage to live out the rest of his life with meaning. Will Yuuji be able to find his place in the world before he ceases to exist?'",,"Shakugan no Shana (Light Novel), Shakugan no Shana, Shakugan no Shana Zero (Light Novel), Shakugan no Shana X Eternal Song - Harukanaru Uta","Shakugan no Shana Specials, Shakugan no Shana: Naze Nani Shana, Shakugan no Shana: Naze Nani Shana Specials, Shakugan no Shana OVA, Dengeki Bunko 2007 Movie Festival Special, Shakugan no Shana Movie, Shakugan no Shana II, Shakugan no Shana S, Shakugan no Shana III","Shana : Rie Kugimiya, Yuuji Sakai : Satoshi Hino, Alastor : Masashi Ebara, Bel-Peol : Sayaka Oohara, Chigusa Sakai : Tomo Sakurai, Eita Tanaka : Takayuki Kondou, Friagne : Junichi Suwabe, Hayato Ike : Hirofumi Nojima, Yashichirou Takahashi
Original Creator, Takashi Watanabe
Director, Kow Otani
Music, Mai Ootsuka
Character Design, Yuuji Matsukura
Producer, Kouhei Kawase
Producer, Takaya Ibira
Producer, Nobuhiro Nakayama
Producer","Yashichirou Takahashi : Original Creator, Takashi Watanabe : Director, Kow Otani : Music, Mai Ootsuka : Character Design, Yuuji Matsukura : Producer, Kouhei Kawase : Producer, Takaya Ibira : Producer, Nobuhiro Nakayama : Producer"
1350,Durarara!! X2 The Second Arc: Onoroke Chakapoko, Durarara!!x2 Ten: Onoroke Chakapoko,Other,,Shuka,,"Supernatural, Based on a Light Novel",3.9,2015.0,,"'""Episode 13.5"" is set between episodes 13 and 14, and depicts the shocking incident that occurs during Celty and Shinra\'s romantic trip together.'",,"Durarara!! (Light Novel), Durarara!!, Durarara!! Saika Arc, Durarara!! 3 Way Standoff - Alley, Durarara!! Yellow Scarves Arc, Minidura, Durarara!! Re;Dollars Arc, Durarara!! - Relay, Durarara!! SH (Light Novel)","Durarara!!, Durarara!! Specials, Durarara!! X2, Durarara!! X2 The Second Arc, Durarara!! X2: My Heart Is in the Pattern of a Hot Pot, Durarara!! X2 The Third Arc, Durarara!! X2 The Third Arc: Dufufufu!","Celty Sturluson : Miyuki Sawashiro, Izaya Orihara : Hiroshi Kamiya, Shizuo Heiwajima, Kasuka Heiwajima, Namie Yagiri : Sanae Kobayashi, Shinra Kishitani : Jun Fukuyama, Traugott Geissendorfer, Takahiro Oomori
Director",Takahiro Oomori : Director
1351,Star Martial God Technique, Xing Wu Shen Jue,Web  ,40.0,Ruo Hong Culture,,"Action, Adventure, Drama, Fantasy, Chinese Animation, Cultivation, Martial Arts, Short Episodes, Xianxia, Based on a Web Novel, CG Animation",3.9,2021.0,,"'In the whole world there lay twelve paths to climb Tower of God, and in legends, these twelve pathways lead toward the legendary road of immortality. However, these paths in the Tower of God, are far too long, without end. In ancient times there once were many types of martial arts, sadly the world underwent terrible changes, and only three were left: Flame, Dragon and Star Martial Arts. Generations of experts of those three martial arts are searching for the road to immortality. A Star Martial Arts practitioner on his journey of a lifetime, in becoming the Highest God.'",,"Star Martial God Technique (Novel), Star Martial God Technique",,,
1352,Detective Conan Magic File 4: Osaka Okonomiyaki Odyssey,,OVA  ,1.0,TMS Entertainment,,"Comedy, Shounen, Age Transformation, Detectives, Based on a Manga",3.9,2010.0,,"'The day after the hijacking incident aboard the Bell Tree First, Conan is getting ready to return to Tokyo on the 2.47 train, but not before Hattori ensures they take a trip to his favorite okonomiyaki restaurant! With a little over four hours before they must leave for the station, the pair of young detectives head out with Kazuha towards the restaurant. But with a series of obstacles in their way such as talkative neighbors and abandoned babies, will the trio ever get there?'",,"Magic Kaitou, Case Closed, Detective Conan: Tokubetsu-hen, Detective Conan: Zero's Tea Time","Detective Conan, Detective Conan OVA 1: Conan vs Kid vs YAIBA, Detective Conan OVA 2: 16 Suspects, Detective Conan OVA 3: Conan and Heiji and the Vanished Boy, Detective Conan OVA 4: Conan and Kid and Crystal Mother, Detective Conan OVA 5: The Target is Kogoro! The Detective Boys' Secret Investigation, Detective Conan OVA 6: Follow the Vanished Diamond! Conan and Heiji vs Kid!, Detective Conan OVA 7: A Challenge from Agasa, Detective Conan OVA 8: High School Girl Detective Sonoko Suzuki's Case Files, Detective Conan Magic File 2: Kudou Shinichi - The Case of the Mysterious Wall and the Black Lab, Detective Conan OVA 9: The Stranger of 10 Years, Detective Conan Magic File 3: Shinichi and Ran: Memories of Mahjong Tiles and Tanabata, Lupin III Special 21: Lupin III vs Detective Conan, Detective Conan OVA 10: Kid in Trap Island, Detective Conan Magic File 5: Niigata - Tokyo Omiyage Capriccio, Detective Conan OVA 11: A Secret Order from London, Detective Conan vs. Wooo, Detective Conan: Excalibur no Kiseki, Detective Conan Magic File 6: Fantasista Flower, The Disappearance of Conan Edogawa: The Worst Two Days in History, Detective Conan Movie 24: The Scarlet Bullet","Conan Edogawa : Minami Takayama, Heiji Hattori : Ryou Horikawa, Kazuha Toyama : Yuuko Miyamura, Ayumi Yoshida : Yukiko Iwai, Genta Kojima : Wataru Takagi, Goro Otaki : Norio Wakamoto, Hikaru Konishi : Masao Harada, Kaoru Konishi : Ayana Taketatsu, Gosho Aoyama
Original Creator, Yasuichiro Yamamoto
Director, Katsuo Ono
Music, Masatomo Sudou
Character Design, Michihiko Suwa
Producer, Masahito Yoshioka
Producer","Gosho Aoyama : Original Creator, Yasuichiro Yamamoto : Director, Katsuo Ono : Music, Masatomo Sudou : Character Design, Michihiko Suwa : Producer, Masahito Yoshioka : Producer"
1353,Nanbaka,,TV   ,13.0,SATELIGHT,Fall ,"Action, Comedy, Island, Prison, Based on a Webtoon",3.9,2016.0,,"'Four men are assigned to Nanba, the world’s most formidable prison. Juugo, a man who attempted to break out of prison and ended up extending his jail time; Uno, a man who likes to gamble with women; Rock, a man who likes to get into fights; and Nico, a man who likes anime. A super exciting action comedy about the daily lives of the prison’s inmates and guards.'",,Nanbaka,"Nanbaka 2nd Season, Nanbaka: Idiots with Student Numbers!","Hajime Sugoroku : Tomokazu Seki, Juugo : Yuuto Uemura, Nico : Daiki Kobayashi, Rock : Ire Shiozaki, Uno : Tetsuya Kakihara, Inori Hakkai : Mitsutaka Itakura, Kenshirou Yozakura : Shouma Yamamoto, Kiji Mitsuba : Kimeru, Shou Futamata
Original Creator, Shinji Takamatsu
Director & Ed Director & Op Director & Sound Director & Storyboard, Mitsutaka Hirota
Screenplay & Series Composition, Kenji Fujisawa
Music, Kento Toya
Animation Director & Character Design & Chief Animation Director, Takeshi Shimura
Photography Director, Katsuhisa Takiguchi
Art Director, Yuki Akimoto
Color Design","Shou Futamata : Original Creator, Shinji Takamatsu : Director & Ed Director & Op Director & Sound Director & Storyboard, Mitsutaka Hirota : Screenplay & Series Composition, Kenji Fujisawa : Music, Kento Toya : Animation Director & Character Design & Chief Animation Director, Takeshi Shimura : Photography Director, Katsuhisa Takiguchi : Art Director, Yuki Akimoto : Color Design"
1354,Mitsudomoe Zouryouchuu!,,TV   ,,Bridge,Winter,"Comedy, Shounen, Slice of Life, School Life, Siblings, Based on a Manga",3.9,2011.0,,"'The lives of the Marui triplets remain as hectic as ever, both at school and at home. Mitsuba continues to battle with her weight, even using Futaba as a makeshift dieting machine, all while attempting to keep a hold of her reputation and status within the class. Meanwhile, Hitoha’s adoration for the Gachi Rangers remains as strong as ever, though she’s finding it increasingly difficult to escape occult freak Sakiko. Finally, amongst the rampaging antics of his students, Yabe struggles on with his own issues, particularly in his non-existent relationship with the clumsy school nurse, Kuriyama. With panties flying, Futaba’s breast fetish raging, and the triplet’s suspicious dad causing embarrassment to his daughters at every turn, there’s plenty left in store for the girls and their long-suffering teacher.'",,Mitsudomoe,"Mitsudomoe, Mitsudomoe Special","Futaba Marui : Satomi Akesaka, Hitoha Marui : Haruka Tomatsu, Mitsuba Marui : Ayahi Takagaki, Aiko Kuriyama : Momoko Saito, Miku Sugisaki : Chiwa Saitou, Miyashita : Momoko Ohara, Sakiko Matsuoka : Ikumi Hayama, Satoshi Yabe : Hiro Shimono, Norio Sakurai
Original Creator, Masahiko Oota
Director, Yasuhiro Misawa
Music, Takaharu Osumi
Character Design, Hiromasa Minami
Producer, Yousuke Wada
Producer, Takuo Yagi
Producer, Yoshiyuki Itou
Producer","Norio Sakurai : Original Creator, Masahiko Oota : Director, Yasuhiro Misawa : Music, Takaharu Osumi : Character Design, Hiromasa Minami : Producer, Yousuke Wada : Producer, Takuo Yagi : Producer, Yoshiyuki Itou : Producer"
1355,Juan Siliang,,Web  ,15.0,Wulifang Digital,,"Action, Fantasy, Chinese Animation, CG Animation",3.9,2021.0,,'No synopsis yet - check back soon!',,,,"Jing Xuan, Tu Li, Feng Mian, Xiao Ji, Xu Lingxi, Yuqing Zhao
Director",Yuqing Zhao : Director
1356,My Hero Academia: Jump Festa 2016 Special, Boku no Hero Academia: Sukue! Kyuujo Kunren!,Other,,Bones,,"Action, Comedy, Sci Fi, Shounen, Superheroes, Superpowers, Based on a Manga",3.9,2016.0,,"'After dealing with the villains that infiltrated the school premises, the rescue training is resumed. But not all goes as planned, as there is a villain still hidden in the USJ.'",,"My Hero Academia, My Hero Academia: School Briefs (Light Novel), My Hero Academia: Vigilantes",My Hero Academia,"Izuku Midoriya : Daiki Yamashita, Katsuki Bakugo : Nobuhiko Okamoto, Ochaco Uraraka : Ayane Sakura, Tenya Iida : Kaito Ishikawa, All Might : Kenta Miyake, Denki Kaminari : Tasuku Hatanaka, Eijiro Kirishima : Toshiki Masuda, Fumikage Tokoyami : Yoshimasa Hosoya, Kouhei Horikoshi
Original Creator",Kouhei Horikoshi : Original Creator
1357,High School DxD BorN Specials, High School DxD BorN: Ishibumi Ichiei Kanzen Kanshuu! Mousou Bakuyou Kaijo Original Video,DVD S,,TNK,,"Comedy, Ecchi, Fantasy, Harem, Contemporary Fantasy, Demons, Based on a Light Novel, Nudity,, Sexual Content",3.9,2015.0,2016.0,'No synopsis yet - check back soon!',"Nudity,, Sexual Content","High School DxD (Light Novel), High School DxD, High School DxD: Asia & Koneko's Secret Contract!?, High School DxD: Akuma no Oshigoto, High School DxD EX (Light Novel), High School DxD DX (Light Novel), Shin High School DxD (Light Novel)","High School DxD, High School DxD Specials, High School DxD OVA, High School DxD NEW, High School DxD NEW: Oppai, Tsutsumimasu!, High School DxD BorN, High School DxD BorN: Yomigaeranai Fushichou, High School DxD Hero","Akeno Himejima : Shizuka Itou, Asia Argento : Azumi Asakura, Irina Shidou : Maaya Uchida, Issei Hyoudou : Yuuki Kaji, Koneko Toujou : Ayana Taketatsu, Rias Gremory : Youko Hikasa, Xenovia Quarta : Risa Taneda, Grayfia Lucifuge : Saori Seto",
1358,Paradise Kiss,,TV   ,12.0,MADHOUSE,Fall ,"Drama, Josei, Romance, Fashion, noitaminA, Based on a Manga, Sexual Content",3.9,2005.0,,"""Yukari is a typical high school student on the fast track to attending a university, but her boring life leaves much to be desired; that is, until a motley crew of fashion design students ask her to model their new clothing line: Paradise Kiss! Now, Yukari must choose if she will reject the life her mother has laid out for her, and start making choices on her own for the first time. While taking her first steps into adulthood, Yukari also begins to realize that with freedom comes responsibility; a life in the fashion industry isn't an easy one, especially for someone unsure of her own intentions…""",Sexual Content,"Gokinjo Monogatari, Paradise Kiss","Gokinjo Monogatari, Gokinjo Monogatari Movie","George Koizumi : Kenji Hamada, Yukari Hayasaka : Yu Yamada, Arashi Nagase : Shunsuke Mizutani, Hiroyuki Tokumori : Noriyuki Uchino, Isabella Yamamoto : Rie Kugimiya, Miwako Sakurada : Marika Matsumoto, Alice Yamaguchi : Rumi Shishido, Hamada-Sensei : Akiko Kawase, Ai Yazawa
Original Creator, Osamu Kobayashi
Director, Nobuteru Yuuki
Character Design, Ryou Ooyama
Producer, Yukihiro Itou
Producer, Kouji Yamamoto
Producer, Youko Matsuzaki
Producer, Kenichi Ishikura
Episode Director","Ai Yazawa : Original Creator, Osamu Kobayashi : Director, Nobuteru Yuuki : Character Design, Ryou Ooyama : Producer, Yukihiro Itou : Producer, Kouji Yamamoto : Producer, Youko Matsuzaki : Producer, Kenichi Ishikura : Episode Director"
1359,Fate/Grand Carnival,,OVA  ,4.0,Lerche,,"Comedy, Fantasy, Sci Fi, Gag, Magic, Parody, Based on a Mobile Game",3.9,2021.0,,"'As more and more Servants join Chaldea, maintaining resources for so many is becoming a problem. And so, a cruel order has been given...'",,,"Carnival Phantasm, Fate/Grand Order: First Order, Fate/Grand Order: Absolute Demonic Front - Babylonia","Gudako : Akira Sekine, Jeanne Alter : Maaya Sakamoto, Lancer : Kana Ueda, Mash Kyrielight : Rie Takahashi, Rider : Tadahisa Saizen, Saber : Sakura Tange, Archer : Satoshi Tsuruoka, Archer : Nobutoshi Canna",
1360,Danganronpa 3: The End of Hope's Peak Academy- Despair Arc, Danganronpa 3: The End of Kibougamine Gakuen: Zetsubou-hen,TV   ,11.0,Lerche,Summer,"Mystery, High Stakes Games, Play or Die, Psychological, Based on a Video Game, Violence",3.89,2016.0,,"'Hope’s Peak\xa0High School is a special school that nurtures those with exceptional talents\xa0and abilities. While only top students are a part of the main course, anyone can join the\xa0preparatory course, like Haijme Hinata has. Hinata wants nothing more than to be part\xa0of the talented elite, but his desires lead him to a fateful encounter that drives the future\xa0of the school into despair.'",Violence,"Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei, Danganronpa Zero (Light Novel), Danganronpa 2: Goodbye Despair, Super Danganronpa 2: Sayonara Zetsubou Gakuen - Comic Anthology, Super Danganronpa 2: Goodbye Despair Academy 4-koma Kings, Super Danganronpa 2: Dangan Island Kokoro Tokonatsu, Kokoronpa♪, Super Danganronpa 2: Nanami Chiaki no Sayonara Zetsubou Daibouken, Danganronpa 2: Ultimate Luck and Hope and Despair, Danganronpa: The Animation, Zettai Zetsubou Shoujo: Danganronpa Another Episode - Genocider Mode, Danganronpa Another Episode: Ultra Despair Girls, Danganronpa Gaiden: Killer Killer, New Danganronpa V3: Minna no Koroshiai","Danganronpa: The Animation, Danganronpa 3: The End of Hope's Peak Academy- Future Arc, Danganronpa 3: The End of Hope's Peak Academy- Hope Arc, Danganronpa 3: Monokuma Gekijou, Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaisha","Chiaki Nanami : Kana Hanazawa, Chisa Yukizome : Mai Nakahara, Hajime Hinata : Minami Takayama, Akane Owari : Romi Park, Fuyuhiko Kuzuryuu : Daisuke Kishio, Gundham Tanaka : Tomokazu Sugita, Hiyoko Saionji : Suzuko Mimori, Ibuki Mioda : Ami Koshimizu, Seiji Kishi
Chief Director, Daiki Fukuoka
Director, Masafumi Takada
Music, Kazuaki Morita
Character Design","Seiji Kishi : Chief Director, Daiki Fukuoka : Director, Masafumi Takada : Music, Kazuaki Morita : Character Design"
1361,Fairy Tail 2 OVA,,OVA  ,3.0,A-1 Pictures,,"Comedy, Ecchi, Fantasy, Shounen, Magic, Based on a Manga",3.89,2016.0,,"'In the story set after the Grand Magic Games, the Fairy Tail members split into two teams and play a Japanese game, where the losers must undergo punishment as the penalty. For example, the video teases that Erza has to don a maid outfit, Lucy has to wear a Playboy-style bunny outfit, and Wendy has to wear ""that outfit.""'",,"Fairy Tail Matsuri, Fairy Tail, Fairy Tail S: Tales from Fairy Tail, Fairy Tail the Movie: Priestess of The Phoenix - The Sunrise, Fairy Tail: Ice Trail, Fairy Tail Zero, Fairy Tail: Blue Mistral, Fairy Girls, Magazine Ohanami!!, Fairy Tail Gaiden, Fairy Tail: City Hero","Fairy Tail, Fairy Tail OVA, Fairy Tail Movie 1: Phoenix Priestess, Fairy Tail Movie 1: Phoenix Priestess - The First Morning, Fairy Tail 2, Fairy Tail Movie 2: Dragon Cry, Fairy Tail: Final Season","Charle : Yui Horie, Erza Scarlet : Sayaka Oohara, Gray Fullbuster : Yuuichi Nakamura, Happy : Rie Kugimiya, Lucy Heartfilia : Aya Hirano, Natsu Dragneel : Tetsuya Kakihara, Wendy Marvell : Satomi Satou, Bickslow : Yoshihisa Kawahara, Hiro Mashima
Original Creator, Tetsurou Amino
Director, Yasuharu Takanashi
Music, Shinji Takeuchi
Character Design, Toshihiko Sano
Character Design, Noriaki Matsuki
Producer, Hiroshi Tatsukawa
Producer, Youhei Itou
Producer","Hiro Mashima : Original Creator, Tetsurou Amino : Director, Yasuharu Takanashi : Music, Shinji Takeuchi : Character Design, Toshihiko Sano : Character Design, Noriaki Matsuki : Producer, Hiroshi Tatsukawa : Producer, Youhei Itou : Producer"
1362,Pokemon: Twilight Wings, Pokemon: Hakumei no Tsubasa,Web  ,7.0,FILMONY,Winter,"Fantasy, Slice of Life, Family Friendly, Monsters, Proxy Battles, Short Episodes, Based on a Video Game",3.89,2020.0,,"""Set in the Galar region, where Pokémon battles have developed into a cultural sensation,\xa0Pokémon: Twilight Wings\xa0will show in detail the dreams of Galar's residents, the realities they face, the challenges they must overcome, and the conflicts they must resolve.""",,,Pokemon: Twilight Wings - The Gathering of Stars,"Bea : Eri Kitamura, Hop : Yuuko Sanpei, John : Aoi Yuuki, Nessa : Sora Amamiya, Oleana : Ayumi Nagao, Tommy : Kei Shindou, Wooloo : Rikako Aikawa, Allister : Ryou Hirohashi, Shingo Yamashita
Director, Shin Ogasawara
Character Design, Bahi Jd
Key Animator, Weilin Zhang
Key Animator, Eri Irei
Key Animator","Shingo Yamashita : Director, Shin Ogasawara : Character Design, Bahi Jd : Key Animator, Weilin Zhang : Key Animator, Eri Irei : Key Animator"
1363,Major 2nd,,TV   ,25.0,OLM,Spring,"Sports, Baseball, Based on a Manga",3.89,2018.0,,"""Shigeno Daigo is an elementary student whose father, Goro, is a professional baseball player. Inspired by his father, who was once a Major League player, Daigo started playing baseball with the Mifune Dolphins, a youth team. However, he was unable to live up to the expectations of being the son of a professional, and quit baseball after less than a year. Then, in the spring of his sixth-grade year, Daigo's school welcomes a transfer student, Sato Hikaru, whose father is Sato Toshiya, a former Major League player and Goro's close friend. The fate of these two young men begins to move forward!""",,"Major, Major 2nd","Major Season 1, Major Season 2, Major Season 3, Major Season 4, Major Movie: Yuujou no Winning Shot, Major Season 5, Major Season 6, Major: Message, Major: World Series, Shounen Sunday CM: Major 2nd, Major 2nd: Second Season","Daigo Shigeno : Natsumi Fujiwara, Hikaru Satou : Koutarou Nishiyama, Mutsuko Sakura :  Kana Hanazawa, Andy Suzuki : Shintarou Oohata, Fujii : Takeshi Kusao, Goro Honda, Hayato Urabe : Taichi Ichikawa, Hideki Shigeno : Shunsuke Sakuya, Takuya Mitsuda
Original Creator, Ayumu Watanabe
Director, Kotaro Nakagawa
Music, Kenichi Oonuki
Character Design","Takuya Mitsuda : Original Creator, Ayumu Watanabe : Director, Kotaro Nakagawa : Music, Kenichi Oonuki : Character Design"
1364,Minami-ke,,TV   ,13.0,Daume,Fall ,"Comedy, Seinen, Slice of Life, Gag, School Life, Siblings, Based on a Manga",3.89,2007.0,,"""Meet the Minami sisters, three girls living on their own and doing their best to make it through life's little snags and adventures. Kana, the middle sister, has far more energy than common sense; Chiaki, the youngest, is more reserved, but her sharp tongue and devious mind often cause trouble for others; and Haruka, the eldest, acts like a mother to the other two, is beautiful and kind, but has a fearsome stern streak. Together, no obstacle can stand in their way, be it school, romance, or even cooking.""",,Minami-ke,"Minami-ke Okawari, Minami-ke Okaeri, Minami-ke Betsubara, Minami-ke Omatase, Minami-ke Tadaima, Minami-ke Natsuyasumi","Chiaki Minami : Minori Chihara, Haruka Minami : Rina Satou, Kana Minami : Marina Inoue, Atsuko : Ryouko Ono, Fujioka : Tetsuya Kakihara, Hayami : Saeko Chiba, Hosaka : Daisuke Ono, Keiko : Saori Gotou, Coharu Sakuraba
Original Creator, Masahiko Oota
Director, Yasuhiro Misawa
Music, Shinji Ochi
Character Design, Keiko Shibuya
Color Design, Shinichi Ikeda
Producer, Takahiro Yamanaka
Producer, Masahito Otani
Episode Director & Storyboard","Coharu Sakuraba : Original Creator, Masahiko Oota : Director, Yasuhiro Misawa : Music, Shinji Ochi : Character Design, Keiko Shibuya : Color Design, Shinichi Ikeda : Producer, Takahiro Yamanaka : Producer, Masahito Otani : Episode Director & Storyboard"
1365,Kengan Ashura,,Web  ,12.0,LARX Entertainment,Summer,"Action, Drama, Hand to Hand Combat, Martial Arts, Tournaments, Based on a Manga, CG Animation, Explicit Violence",3.89,2019.0,,"'Ohma Tokita enters a hidden world where corporate disputes are settled in brutal gladiator bouts. Forget the money, he just wants to fight -- and win.'",Explicit Violence,Kengan Ashura,Kengan Ashura 2,"Kazuo Yamashita : Choo, Ohma Tokita : Tatsuhisa Suzuki, Adam Dudley : Chado Horii, Cosmo Imai : Junya Enoki, Hideki Nogi :  Jouji Nakata, Jerry Tyson : Matthew Masaru Barron, Julius Reinhold : Hiroshi Shirokuma, Kaede Akiyama : Yumi Uchiyama, Yabako Sandrovich
Original Creator, Seiji Kishi
Director, Yasuharu Takanashi
Music, Kazuaki Morita
Character Design","Yabako Sandrovich : Original Creator, Seiji Kishi : Director, Yasuharu Takanashi : Music, Kazuaki Morita : Character Design"
1366,Yu Yu Hakusho Specials,,DVD S,,Pierrot,,"Action, Shounen, Afterlife, Demons, Hand to Hand Combat, Supernatural, Superpowers, Based on a Manga",3.89,2018.0,,'No synopsis yet - check back soon!',,Yu Yu Hakusho,"Yu Yu Hakusho, Yu Yu Hakusho: Mu Mu Hakusho","Hiei : Nobuyuki Hiyama, Kazuma Kuwabara : Shigeru Chiba, Yoko Kurama : Megumi Ogata, Yusuke Urameshi : Nozomu Sasaki, Botan : Sanae Miyuki, Hedoki : Jin Domon, Koenma : Mayumi Tanaka, Maya Kitajima : Rui Tanabe, Yoshihiro Togashi
Original Creator, Noriyuki Abe
Director, Mari Kitayama
Character Design, Keisuke Watanabe
Character Design, Ken Hagino
Producer","Yoshihiro Togashi : Original Creator, Noriyuki Abe : Director, Mari Kitayama : Character Design, Keisuke Watanabe : Character Design, Ken Hagino : Producer"
1367,A Whisker Away, Nakitai Watashi wa Neko wo Kaburu,Web  ,1.0,Studio Colorido,Spring,"Drama, Romance, Animal Transformation, Cats, Supernatural, Original Work",3.89,2020.0,,"""A peculiar girl transforms into a cat to catch her crush's attention. But before she realizes it, the line between human and animal starts to blur.""",,Nakitai Watashi wa Neko wo Kaburu,"Yorushika: Yakou, Yorushika: Hana ni Bourei","Kento Hinode : Natsuki Hanae, Miyo Sasaki : Mirai Shida, Mask Seller : Kouichi Yamadera, Yoriko Fukase : Minako Kotobuki, Bannai : Wataru Komada, Hajime : Fukushi Ochiai, Kakinuma : Shinichirou Miki, Kaoru Mizutani : Ayako Kawasumi, Junichi Satou
Director, Tomotaka Shibayama
Director, Mina Kubota
Music, Yumi Ikeda
Character Design, Shigeru Nishiyama
Editor, Namiko Ishidate
Animation Director, Takahiro Tanaka
Key Animator, Yorushika
Song Performance","Junichi Satou : Director, Tomotaka Shibayama : Director, Mina Kubota : Music, Yumi Ikeda : Character Design, Shigeru Nishiyama : Editor, Namiko Ishidate : Animation Director, Takahiro Tanaka : Key Animator, Yorushika : Song Performance"
1368,Haganai: I Don't Have Many Friends NEXT, Boku wa Tomodachi ga Sukunai NEXT,TV   ,12.0,AIC Build,Winter,"Comedy, Ecchi, Harem, Otaku Culture, School Club, School Life, Based on a Light Novel",3.89,2013.0,,"'Kodaka, Sena, Yozora and the rest of the Neighbors Club are back, and continue on their quest to learn what it’s like to make friends. There’s never a dull day for the gang, whether they’re debating the merits of “family friendly” yaoi anime, having a soda party or even heading to the amusement park. And whether Kodaka is enduring an especially awkward bath session with Pegasus or hosting Maria for an overnight sleepover, one thing’s for sure: he and the Neighbors Club are in for plenty of misadventures!'",,"Boku wa Tomodachi ga Sukunai (Light Novel), Boku wa Tomodachi ga Sukunai +, Haganai: I Don't Have Many Friends, Haganai: I Don't Have Many Friends - Now With 50% More Fail!, Boku wa Tomodachi ga Sukunai Anthology, Boku wa Tomodachi ga Sukunai x Seitokai no Ichizon Crossover Special, Haganai: I Don't Have Many Friends - Club Minutes, Boku wa Tomodachi ga Sukunai: Connect (Light Novel)","Haganai: I Don't Have Many Friends OVA, Haganai: I Don't Have Many Friends, Haganai: I Don't Have Many Friends - A Round-Robin Story's Ending Is Way Extreme","Kodaka Hasegawa : Ryouhei Kimura, Sena Kashiwazaki : Kanae Itou, Yozora Mikazuki : Marina Inoue, Kate Takayama : Emiri Katou, Kobato Hasegawa : Kana Hanazawa, Maria Takayama : Yuka Iguchi, Rika Shiguma : Misato Fukuen, Yukimura Kusunoki : Nozomi Yamamoto, Yomi Hirasaka
Original Creator, Tooru Kitahata
Director, Yoshihiro Watanabe
Character Design, Gou Tanaka
Producer, Shinobu Yoshinuma
Producer, Oshi Yoshinuma
Producer, Satoshi Tanaka
Producer, Kentaro Iwasa
Producer","Yomi Hirasaka : Original Creator, Tooru Kitahata : Director, Yoshihiro Watanabe : Character Design, Gou Tanaka : Producer, Shinobu Yoshinuma : Producer, Oshi Yoshinuma : Producer, Satoshi Tanaka : Producer, Kentaro Iwasa : Producer"
